food_name,age,time,cuisine_type,cooking_method,dish_type,dietary_preferences,spice_level,occasion,nutrient_content,region_origin,texture,post_id
chinese style chilli paneer and fried rice,adult,lunch,indian,fried,main course,vegetarian,medium,everyday,high carb,chinese,soft,1bcwy6m
sambar,senior citizen,lunch,south indian,steamed,main course,vegetarian,medium,everyday,high protein,tamil,soupy,1bcv5n2
rava idli,senior citizen,lunch,south indian,steamed,appetizer,vegetarian,mild,everyday,high protein,tamil,soft,1bctbi6
chicken tikka masala,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1bcsw6y
coffee,adult,breakfast,indo-western,brewed,beverage,vegetarian,mild,everyday,high protein,indo-western,smooth,1bcrzu7
crispy veggie cheese balls,adult,snacks,fusion,fried,appetizer,vegetarian,mild,iftar,high protein,other,crispy,1bcpsu0
masala dosa,adult,snacks,indian,stir-fried,snack,vegetarian,medium,street food,high carb,south indian,thin,1bcnpz8
lobia palak,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,festive,high protein,punjabi,soft,1bc8o8s
valvan masala kairi,senior citizen,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high fiber,indian,soft,1bc7hqb
mutter panner,adult,lunch,indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,other,soft,1bc74yd
aloo parantha,adult,breakfast,north indian,grilled,appetizer,vegetarian,medium,everyday,high carb,punjabi,soft,1bc4pai
khandvi,adult,lunch,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,gujarati,soft,1bc1vsc
steamed rice with vegetables,adult,lunch,indian,steamed,main course,vegetarian,mild,everyday,high protein,indian,soft,1bbz3gz
suji handvo,senior citizen,snacks,indian,steamed,snack,vegetarian,medium,everyday,high protein,gujarati,soft,1bbyw6b
blueberry cheesecake,senior citizen,dessert,fusion,baked,dessert,vegetarian,mild,everyday,high carb,western,creamy,1bbxp0t
paneer butter masala,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,creamy,1bbthmj
grilled paneer tikka,adult,lunch,indo-western,grilled,appetizer,vegetarian,mild,everyday,high protein,india,soft,1bbrovw
bhel puri,senior citizen,snacks,indian,stir-fried,snack,vegetarian,medium,street food,high carb,maharashtrian,crispy,1bbirfn
grilled chicken tikka masala,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,india,tender,1bbdyfb
dal and mushroom egg with peas,adult,dinner,fusion,stir-fried,appetizer,vegetarian,medium,everyday,high protein,fusion,soft,1bbdq3b
curd rice,senior citizen,lunch,south indian,steamed,main course,vegetarian,mild,everyday,high carb,south india,smooth,1bbcmn3
gandharaaj lebu,senior citizen,dinner,east indian,steamed,dessert,vegetarian,mild,festive,high carb,bengali,soft,1bb7uaw
croque memsahib,senior citizen,dinner,fusion,grilled,appetizer,non-vegetarian,medium,festive,high protein,indian,crispy,1bb7f0h
ithwaar naashta,adult,breakfast,north indian,grilled,breakfast,vegetarian,mild,everyday,high protein,punjabi,soft,1bb4ayw
green grams curry,senior citizen,lunch,indian,stir-fried,side dish,vegetarian,medium,everyday,high protein,punjabi,soft,1bb17hn
rose pistachio lamington squares,senior citizen,dessert,fusion,baked,dessert,vegetarian,mild,festive,high carb,australian,cake-like,1bam2xv
spinach pasta,senior citizen,dinner,fusion,stir-fried,main course,vegetarian,mild,everyday,high protein/high fiber/high carb/low fat,australian,soft,1bajg20
grilled chicken burger,adult,dinner,indo-western,grilled,burger,non-vegetarian,medium,everyday,high protein,indo-western,soft,1baisq5
kimchi fried rice,adult,dinner,fusion,stir-fried,main course,vegetarian,medium,everyday,high protein/high fiber/high carb/low fat,indo-western,soft,1bai7ha
massala pasta,adult,dinner,indo-western,stir-fried,pasta,vegetarian,medium,everyday,high carb,indo-western,soft,1bai0ea
dhaba style dal tadka,adult,lunch,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,creamy,1bafx8g
pav bhaji,adult,brunch,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,maharashtrian,soft,1ba9ll7
tandoori chicken,senior citizen,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1ba7gs0
sirke wala pyaz,adult,lunch,north indian,grilled,appetizer,vegetarian,medium,everyday,high protein,punjabi,soft,1b9wuy3
moong dal khichdi,adult,dinner,indian,stir-fried,main course,vegetarian,mild,everyday,high carb,indian,creamy,1b9ubt3
sweet potato chaat,senior citizen,snacks,indian,stir-fried,snack,vegetarian,mild,festive,high fiber,indian,crunchy,1b9tdv4
grilled chicken tikka masala,adult,dinner,indo-western,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1b9ssdw
chaatpata,adult,snacks,indian,grilled,appetizer,vegetarian,medium,everyday,high protein,indian,crispy,1b9ntb5
sabudana vada,adult,snacks,indian,steamed,appetizer,vegetarian,medium,festive,high protein,maharashtrian,crispy,1b9m3bq
palak methi aloo,adult,lunch,north indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,punjabi,soft,1b9lkkv
makki ki stuffed roti with palak kadi,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1b9jdnb
paneer tikka masala,adult,dinner,north indian,grilled,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1b9jazf
veg pulao,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1b9i2bu
paneer kolhapuri,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high protein,maharashtrian,soft,1b9hmoh
aloo paratha,adult,breakfast,north indian,steamed,main course,vegetarian,mild,festive,high carb,punjabi,soft,1b9h0u3
cuban espresso,adult,dessert,indo-western,brewed,dessert,vegetarian,mild,everyday,high protein,indian,smooth,1b9d3jd
grilled tomatoes,child,breakfast,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1b98zu4
aloo tikki,child,lunch,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1b8zpp6
aloo tikki,child,lunch,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,crunchy,1b8yu9i
pumpkin roti with gur aam,adult,dinner,north indian,baked,main course,vegetarian,mild,everyday,high carb,punjabi,soft,1b8yovd
pyaz ka paratha,senior citizen,dinner,north indian,grilled,main course,vegetarian,mild,everyday,high carb,punjabi,soft,1b8y6fe
paneer paratha,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1b8w4th
sunkissed toasts,child,snacks,fusion,toasted,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1b8vr8z
chicken kebab,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,festive,high protein,punjabi,tender,1b8v0lm
egg masala dosa,senior citizen,breakfast,south indian,steamed,main course,vegetarian,medium,everyday,high carb,tamil nadu,soft,1b8uiuw
manchurian,senior citizen,lunch,indo-chinese,steamed,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1b8ud85
choor choor naan,adult,lunch,north indian,baked,appetizer,vegetarian,medium,traditional,high carb,punjabi,soft,1b8snk9
drumstick sambar,senior citizen,lunch,south indian,stir-fried,starter,vegetarian,medium,festive,high protein,tamil,thick,1b8r33h
strawberry milkshake,adult,dessert,fusion,mixed,dessert,vegetarian,mild,everyday,high carb,indian,creamy,1b8q3lt
chana masala,adult,dinner,indian,stir-fried,main course,vegetarian,mild,family,high protein,indian,creamy,1b8ko1u
vadapav,adult,snacks,indian,fried,snack,vegetarian,medium,street,high carb,mumbai,crispy,1b8da3d
desi burrito plate,adult,lunch,fusion,stir-fried,appetizer,vegetarian,medium,everyday,high protein,other,crunchy,1b86t3z
quiche,adult,dinner,fusion,baked,dessert,vegetarian,mild,iftar,high protein,other,soft,1b866t2
indian sweet bread,adult,dessert,indian,baked,dessert,vegetarian,mild,comfort food,high carb,indian,soft,1b85prq
crispy sabudana vada,adult,snacks,indian,fried,appetizer,vegetarian,medium,festive,high carb,maharashtrian,crispy,1b838a7
chicken tikka masala,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,festive,high protein,punjabi,tender,1b832yj
aloo tikki,child,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1b82wcw
dahi sandwich,child,lunch,indian,grilled,sandwich,vegetarian,mild,everyday,high protein,indian,soft,1b82kob
mutton ghee roast,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,festive,high protein,punjabi,tender,1b805dy
egg fried rice,adult,dinner,fusion,stir-fried,main course,vegetarian,mild,everyday,high carb,chinese,soft,1b7y587
milai tadka,adult,dinner,indian,stir-fried,appetizer,vegetarian,medium,festive,high protein,maharashtrian,crunchy,1b7xzwa
falooda,senior citizen,dessert,indian,stir-fried,dessert,vegetarian,mild,everyday,high carb,indian,smooth,1b7xol3
jalebi,senior citizen,dessert,indian,steamed,dessert,vegetarian,mild,festive,high carb,indian,soft,1b7xnv7
pista,senior citizen,dessert,indian,stir-fried,dessert,vegetarian,mild,festive,high carb,indian,soft,1b7xfhg
khandvi,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,gujarati,soft,1b7xbgu
brownie,senior citizen,dessert,indo-western,baked,dessert,vegetarian,mild,everyday,high carb,indo-western,fudgy,1b7vjmk
palak,senior citizen,breakfast,indian,grilled,appetizer,vegetarian,medium,festive,high protein,north indian,crispy,1b7v29f
matar,adult,dinner,north indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1b7uoyo
soul,adult,dinner,indo-western,baked,dessert,vegetarian,mild,everyday,high carb,indo-western,soft,1b7uctl
mushroom,senior citizen,breakfast,indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,indian,soft,1b7s044
chicken,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,crispy,1b7oja6
chicken biryani,senior citizen,dinner,indian,baked,main course,non-vegetarian,medium,everyday,high carb,indian,soft,1b7e1l8
cafe coffee,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,smooth,1b7bqrw
gulab jamun,senior citizen,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1b7bbco
dosa,senior citizen,breakfast,indian,steamed,dessert,vegetarian,mild,festive,high carb,indian,soft,1b7anwk
chicken dahi pakora,adult,snacks,indian,fried,snack,non-vegetarian,medium,iftar,high carb,indian,crispy,1b76xxg
rajma ki kachori,adult,snacks,north indian,fried,appetizer,vegetarian,medium,festive,high protein,punjabi,crispy,1b76rqb
veg biryani,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1b76m0z
rajma galouti,adult,snacks,north indian,grilled,appetizer,vegetarian,medium,festive,high protein,punjabi,soft,1b75awa
pizza dosa,adult,snacks,fusion,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,soft,1b726hm
triangle paratha,senior citizen,breakfast,north indian,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,soft,1b711mm
steamed dumplings,adult,snacks,indian,steamed,snack,vegetarian,mild,wedding,high carb,indian,soft,1b6zkei
doaba style,adult,snacks,north indian,stir-fried,snack,vegetarian,medium,festive,high protein,punjabi,crunchy,1b6z0ed
pasta,child,breakfast,indo-western,stir-fried,dessert,vegetarian,mild,everyday,high carb,indian,soft,1b6xsjv
kachalu,child,snacks,north indian,fried,appetizer,vegetarian,mild,everyday,high protein,jammu,crispy,1b6u150
veg kolhapuri,senior citizen,dinner,indian,grilled,main course,vegetarian,medium,everyday,high protein,maharashtrian,soft,1b6i86l
somwaar quick,child,lunch,indian,steamed,main course,vegetarian,medium,everyday,high protein,indian,soft,1b6ft9n
gulab jamun,child,dessert,indian,steamed,dessert,vegetarian,mild,everyday,high carb,indian,soft,1b6dyjs
niramish alloo,adult,dinner,indian,steamed,main course,vegetarian,medium,festive,high protein,punjabi,soft,1b6ceco
donne biryani,senior citizen,dinner,indian,steamed,main course,non-vegetarian,medium,everyday,high carb,indian,soft,1b6c77f
baked samosas,child,snacks,indian,baked,snack,vegetarian,mild,everyday,high protein,indian,crispy,1b6buyx
gulab jamun,senior citizen,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,punjabi,soft,1b6bns8
tandoori chicken,adult,dinner,indian,grilled,main course,non-vegetarian,medium,festive,high protein,india,tender,1b6bja9
palak chatni,adult,lunch,north indian,stir-fried,appetizer,vegetarian,medium,festive,high protein,punjabi,crunchy,1b69wf3
chilli chicken,adult,snacks,fusion,stir-fried,appetizer,non-vegetarian,medium,everyday,high protein,indian,crispy,1b69pcm
gulab jamun,senior citizen,dinner,indian,baked,dessert,vegetarian,mild,festive,high carb,punjabi,soft,1b69gat
tofu bhurji,adult,snacks,indian,stir-fried,snack,vegetarian,medium,everyday,high protein,indian,soft,1b66joi
herbed mushroom mac and cheese,adult,dinner,fusion,baked,appetizer,vegetarian,mild,everyday,high protein,indian,creamy,1b651k1
papdi chaat,adult,snacks,indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,north indian,crispy,1b63z1e
fish curry,senior citizen,dinner,indian,curried,main course,non-vegetarian,medium,festive,high protein,indian,soft,1b63kes
grilled lamb chops,adult,dinner,indian,grilled,main course,non-vegetarian,medium,festive,high protein,indian,tender,1b62f2k
grilled chicken tikka masala,senior citizen,dinner,indian,grilled,main course,non-vegetarian,medium,festive,high protein,indian,soft,1b5nffy
dahi papad ki sabzi,adult,lunch,indian,stir-fried,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1b5n4vo
roti,adult,breakfast,indian,steamed,side dish,vegetarian,mild,everyday,high carb,indian,soft,1b5kxl6
grilled chicken tikka,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1b5kklp
cajun potato,senior citizen,snacks,fusion,baked,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1b5hg4r
creamy chicken curry,adult,dinner,indian,curried,main course,non-vegetarian,medium,everyday,high carb,indian,smooth,1b5fbhe
vegetable lasagna,senior citizen,dinner,indian,baked,main course,vegetarian,mild,everyday,high protein,indian,soft,1b5el45
chilli garlic dosa,senior citizen,breakfast,south indian,grilled,appetizer,vegetarian,medium,everyday,high carb,tamil,crispy,1b5dcdr
rolling sticks,adult,lunch,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1b5crve
chicken briyani,adult,dinner,indian,baked,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1b5cfdt
Sizzling Chicken Tikka,senior citizen,dinner,indian,grilled,appetizer,non-vegetarian,medium,festive,high protein,indian,soft,1b5c6w2
Doaba Style Keema Kulcha,adult,dinner,north indian,baked,main course,non-vegetarian,medium,everyday,high carb,punjabi,soft,1b5auni
Sunday morning breakfast,senior citizen,breakfast,indian,baked,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1b5apsj
Poha,adult,breakfast,indian,steamed,breakfast,vegetarian,mild,everyday,high carb,indian,soft,1b58mse
Fruit Chaat,adult,snacks,indian,stir-fried,snack,vegetarian,mild,everyday,high fiber,indian,crunchy,1b527mj
Steamed Carrots,adult,snacks,indian,steamed,appetizer,vegetarian,mild,everyday,high fiber,indian,soft,1b4yhu9
Paper Masala Dosa,senior citizen,breakfast,south indian,steamed,appetizer,vegetarian,medium,festive,high protein,tamil,thin,1b4xxmv
Steamed Chickpeas,senior citizen,breakfast,indian,steamed,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1b4wf8a
Pork Vindaloo,adult,lunch,indian,stir-fried,main course,non-vegetarian,spicy,everyday,high protein,goan,soft,1b4vc9h
Chana Dal Tadka,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1b4ufza
chole bhature,adult,breakfast,north indian,fried,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1b4u9p7
matar ki crispy pakodi,adult,snacks,indian,fried,snack,vegetarian,mild,everyday,high carb,punjabi,crispy,1b4tqnf
chicken tikka masala,adult,dinner,indian,stewed,stew,non-vegetarian,mild,everyday,high protein,indian,soft,1b4theu
chaat,child,snacks,indian,stir-fried,snack,vegetarian,mild,everyday,high carb,indian,crunchy,1b4saia
aloo tikki,child,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,crispy,1b4reie
paneer paratha,adult,breakfast,north indian,grilled,main course,vegetarian,mild,everyday,high protein,punjabi,soft,1b4qsql
aloo parathas,adult,breakfast,north indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1b4ply2
achari paneer puffs,adult,snacks,indian,baked,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1b4p8e2
potato rings,child,snacks,indian,fried,appetizer,vegetarian,mild,everyday,high carb,indian,crispy,1b4p131
salted jaggery caramel makhana,adult,dessert,indian fusion,stir-fried,dessert,vegetarian,mild,everyday,high carb,indian fusion,soft,1b4olwd
maharashrian,adult,dinner,indian,stir-fried,main,vegetarian,medium,everyday,high,maharashtrian,crispy,1b4kqkx
Chilly potato,child,snacks/appetizer,indian,stir-fried,appetizer,vegetarian,medium,everyday,high,indian,crispy,
chole,senior citizen,lunch,north,steamed,main,vegetarian,medium,everyday,high,punjabi,soft,1b4h908
bhature,senior citizen,lunch,indian,baked,appetizer,vegetarian,mild,everyday,high,gujarati,soft,1b4h0iz
paneer,adult,dinner,indian,stir-fried,main,vegetarian,medium,everyday,high,indian,creamy,1b4aeg2
kadhai,adult,dinner,indian,stir-fried,main,vegetarian,medium,everyday,high,tamil,soft,1b432tp
butter,adult,dinner,indian,grilled,main,non-vegetarian,medium,festive,high,punjabi,creamy,1b40yte
rasgulla,senior citizen,dessert,indian,steamed,dessert,vegetarian,mild,festive,high,bengali,soft,1b40w11
dry,senior citizen,dessert,indian,steamed,dessert,vegetarian,mild,everyday,high,indian,soft,1b40hsk
chicken,adult,snacks,fusion,fried,appetizer,non-vegetarian,medium,ramadan,high,can't,crispy,1b3y1be
pav bhaji,senior citizen,lunch,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,maharashtrian,soft,1b3xpku
chicken pakoda,adult,snacks,indian,fried,appetizer,non-vegetarian,medium,everyday,high protein,indian,crispy,1b3x94q
momos,senior citizen,lunch,north indian,steamed,appetizer,vegetarian,mild,everyday,high protein,punjabi,soft,1b3wwxj
chickpea salad,senior citizen,lunch,indian,stir-fried,appetizer,vegetarian,mild,everyday,high protein,indian,crunchy,1b3wks8
bhandare wale kale chane,adult,snacks,north indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,maharashtrian,crunchy,1b3tpj3
halwa pooris,senior citizen,dinner,indian,steamed,dessert,vegetarian,mild,festive,high carb,indian,soft,1b3tp5p
khao suey,adult,dinner,fusion,stir-fried,main course,vegetarian,medium,everyday,high protein,myanmar,crunchy,1b3tmvs
aloo methi ki sabzi,senior citizen,lunch,indian,steamed,side dish,vegetarian,medium,everyday,high fiber,indian,soft,1b3sazo
chatpate aloo,adult,evening,indian,stir-fried,snack,vegetarian,medium,ramadan,high carb,indian,crispy,1b3rqnz
palak chicken,adult,lunch,north indian,stir-fried,main course,non-vegetarian,medium,everyday,high protein,punjabi,tender,1b3r9la
rajma chawal,adult,dinner,north indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1b3qcsg
oats banana smoothie,child,snacks,fusion,steamed,snack,vegetarian,mild,everyday,high protein,punjabi,smooth,1b3o0hk
doaba style chole masala dry,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1b3nyf8
saag tofu,adult,lunch,indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,punjabi,soft,1b3huvn
darjeeling tea,senior citizen,breakfast,indian,steamed,dessert,vegetarian,mild,festive,high protein,darjeeling,smooth,1b3gr2z
samosa,child,snacks,indian,fried,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1b38xbn
tandoori octopus,adult,lunch,fusion,grilled,appetizer,non-vegetarian,medium,everyday,high protein,fusion,tender,1b382y9
pav bhaji,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,maharashtrian,soft,1b35vzv
butterfly chicken,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,festive,high protein,punjabi,tender,1b344ts
sev puri,child,snacks,indian,stir-fried,snack,vegetarian,mild,festive,high carb,north indian,crispy,1b32nte
sai baba ka prasad,senior citizen,dinner,indian,steamed,dessert,vegetarian,mild,festive,high carb,north indian,soft,1b32bef
grilled chicken,adult,lunch,indian,grilled,main course,non-vegetarian,mild,everyday,high protein,indian,tender,1b328bw
kanda bhajiya,adult,snacks,indian,fried,appetizer,vegetarian,mild,everyday,high carb,gujarati,crispy,1b31ke5
grilled paneer tikka,adult,dinner,indian,grilled,appetizer,vegetarian,mild,festive,high protein,south indian,soft,1b2x103
paneer tikki,senior citizen,lunch,indian,grilled,appetizer,vegetarian,medium,festive,high protein,north indian,crunchy,1b2wgl6
gujarati khandvi,adult,lunch,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,gujarati,soft,1b2w9b3
panner momos,adult,snacks,indian,steamed,appetizer,vegetarian,mild,everyday,high protein,north indian,soft,1b2tnqy
chaat,adult,snacks,indian,grilled,street food,vegetarian,medium,everyday,high carb,gujarati,crunchy,1b2t7ou
palak paratha,senior citizen,breakfast,north indian,steamed,appetizer,vegetarian,mild,everyday,high carb,punjabi,soft,1b2rync
aloo tikki,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1b2ny7p
shahi tukda,senior citizen,dinner,indian,fried,dessert,vegetarian,mild,festive,high carb,indian,soft,1b2e28c
baigan bharta,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1b2c77g
masoor dal,adult,snacks,indian,fried,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1b2af1y
banana bread,adult,dessert,fusion,baked,dessert,vegetarian,mild,everyday,high carb,fusion,soft,1b27z88
zurbiyan rice,adult,dinner,north indian,steamed,main course,vegetarian,mild,everyday,high carb,punjabi,soft,1b26flz
black pepper eggs,adult,breakfast,indian,fried,breakfast,vegetarian,mild,everyday,high protein,indian,soft,1b236to
idli,senior citizen,breakfast,indian,steamed,breakfast,vegetarian,mild,everyday,high protein,indian,soft,1b22c3n
lotus stem,adult,dinner,north indian,stir-fried,side dish,vegetarian,medium,festive,high fiber,punjabi,crispy,1b20brn
millet tikki,child,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1b1zew1
mewa mawa ladoo,senior citizen,dinner,indian,steamed,dessert,vegetarian,mild,festive,high carb,indian,soft,1b1xguo
aloo shimla mirch,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1b1kl5n
samosas,child,snacks,indian,baked,snack,vegetarian,mild,everyday,high carb,indian,crispy,1b1hecr
sabudana khichdi,senior citizen,lunch,indian,steamed,main course,vegetarian,medium,everyday,high carb,gujarati,soft,1b1gkju
dal,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,creamy,1b1gcpt
mangalorean chicken ghee roast,adult,dinner,south indian,grilled,main course,non-vegetarian,medium,festive,high protein,mangalorean,tender,1b1fqlo
chole bhature,senior citizen,lunch,north indian,stir-fried,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1b1eeqt
masala sandwich,senior citizen,snacks,indo-western,grilled,snack,non-vegetarian,medium,everyday,high carb,indo-western,soft,1b1d5up
masala gobhi,senior citizen,lunch,indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,punjabi,crispy,1b1cb66
chicken steam roast,senior citizen,dinner,indian,steamed,main course,non-vegetarian,mild,everyday,high protein,indian,tender,1b1bzqv
carrot,senior citizen,lunch,indian,pickled,side dish,vegetarian,mild,everyday,high fiber,indian,crispy,1b1bkdg
pickle,adult,snacks,indian,pickled,appetizer,vegetarian,medium,everyday,high fiber,indian,crunchy,1b1b0p9
aloo tikki,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1b1968x
aloo thukpa,senior citizen,lunch,north indian,stir-fried,main course,vegetarian,mild,everyday,high carb,tibetan,soup,1b18n8h
paneer masala,adult,lunch,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1b18e8m
mushroom chilli,adult,snacks,fusion,stir-fried,appetizer,vegetarian,medium,everyday,high protein,fusion,crispy,1b17btj
kadai paneer,adult,lunch,indian,stir-fried,main course,vegetarian,medium,everyday,high protein,indian,soft,1b16vjq
vada pav,senior citizen,snacks,indian,grilled,snack,vegetarian,medium,everyday,high carb,mumbai,soft,1b10o58
iftar ki dawat,adult,dinner,indian,grilled,appetizer,non-vegetarian,medium,festive,high protein,indian,soft,1b14dqw
spring onion,adult,snacks,indian,steamed,appetizer,vegetarian,mild,everyday,high fiber,indian,crispy,1b10o58
pickle,adult,snacks,indian,pickled,appetizer,vegetarian,mild,everyday,highfiber,indian,crispy,1b0oaq0
ghar,adult,dinner,indian,stirfried,maincourse,vegetarian,mild,everyday,highcarb,indian,soft,1b0ny3b
pizza,adult,dinner,italian,baked,pizza,vegetarian,mild,everyday,highcarb,italian,chewy,1b0mab9
idli,adult,dinner,southindian,steamed,maincourse,vegetarian,mild,everyday,highcarb,tamil,soft,1b0kc0b
meetha,adult,lunch,northindian,grilled,maincourse,vegetarian,mild,everyday,highcarb,punjabi,soft,1b0iqtg
oyester,child,snacks,fusion,grilled,appetizer,vegetarian,medium,everyday,highprotein,indian,crispy,1b0h3ek
bread,adult,snacks,indian,baked,snack,vegetarian,mild,everyday,highcarb,indian,soft,1b0h0un
manchurian,adult,snacks,indowestern,stirfried,snack,vegetarian,medium,everyday,highprotein,indian,crunchy,1b0gfp1
chicken,adult,lunch,indian,grilled,maincourse,non-vegetarian,medium,everyday,highprotein,indian,soft,1b0faj9
chicken,adult,dinner,northindian,grilled,maincourse,non-vegetarian,medium,everyday,highprotein,punjabi,soft,1b0ejfd
Carrot Halwa,senior citizen,dessert,indian,stir-fried,dessert,vegetarian,mild,festive,high carb,other,smooth,1b0ehdm
idli,adult,breakfast,indian,steamed,breakfast,vegetarian,mild,everyday,high protein,indian,soft,1b0dnuz
Chicken 65,adult,snacks,south indian,grilled,appetizer,non-vegetarian,medium,festive,high protein,tamil nadu,crispy,1b0cayy
Chicken Semiya,adult,dinner,indian,stir-fried,main course,non-vegetarian,medium,everyday,high protein,south indian,soft,1b0c36f
Chowmein,senior citizen,lunch,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,indian,soft,1b0c0f3
Biscuits,adult,snacks,indian,baked,dessert,vegetarian,mild,everyday,high carb,indian,crunchy,1b0akus
Roti Shoti,senior citizen,breakfast,north indian,steamed,appetizer,vegetarian,mild,everyday,high carb,punjabi,soft,1azshc0
Baby corn capsicum and paneer sabzi with roti,adult,dinner,indian,stir-fried,main course,vegetarian,mild,everyday,high protein,indian,soft,1azyqon
Steamed Dumplings,adult,snacks,indian,steamed,snack,vegetarian,mild,everyday,high fiber,odisha,soft,1azy7wi
Idli Dhokla,senior citizen,breakfast,south indian,steamed,appetizer,vegetarian,mild,everyday,high carb,tamil nadu,soft,1azuzma
cry bhindi,senior citizen,snacks,indian,fried,appetizer,vegetarian,medium,everyday,high protein,bengali,crispy,1azq9kk
veg biryani,senior citizen,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1azq0mc
spicy peanut butter pasta,adult,dinner,fusion,stir-fried,appetizer,vegetarian,spicy,everyday,high protein,indian,creamy,1azm4th
aloo gosht,adult,dinner,indian,stir-fried,main course,non-vegetarian,medium,everyday,high protein,punjabi,soft,1azle25
kadhi chawal and butter roti,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1azkdyx
ras malai tres leches cake,senior citizen,dessert,fusion,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1azhcwr
